,?,,?UTC,??,?,?,,,?,?,50KT,50KT,50KT,30KT,30KT,30KT,
2008,4,13,0,0801,NEOGURI,2,8.6,128.0,1006,0,0,0,0,0,0,0,0
2008,4,13,6,0801,NEOGURI,2,8.8,126.3,1004,0,0,0,0,0,0,0,0
2008,4,13,12,0801,NEOGURI,2,8.8,124.7,1004,0,0,0,0,0,0,0,0
2008,4,13,18,0801,NEOGURI,2,8.8,123.0,1004,0,0,0,0,0,0,0,0
2008,4,14,0,0801,NEOGURI,2,8.8,121.6,1004,0,0,0,0,0,0,0,0
2008,4,14,6,0801,NEOGURI,2,8.9,120.3,1004,0,0,0,0,0,0,0,0
2008,4,14,12,0801,NEOGURI,2,9.3,119.2,1004,0,0,0,0,0,0,0,0
2008,4,14,18,0801,NEOGURI,2,9.7,117.9,1002,0,0,0,0,0,0,0,0
2008,4,15,0,0801,NEOGURI,2,10.2,117.0,1002,0,0,0,0,0,0,0,0
2008,4,15,6,0801,NEOGURI,3,10.8,116.3,998,35,0,0,0,1,90,70,0
2008,4,15,12,0801,NEOGURI,3,11.9,115.3,996,40,0,0,0,1,120,70,0
2008,4,15,18,0801,NEOGURI,3,12.6,114.2,994,45,0,0,0,1,120,70,0
2008,4,16,0,0801,NEOGURI,4,13.1,113.0,990,50,0,0,0,1,130,70,0
2008,4,16,6,0801,NEOGURI,4,13.3,112.5,980,60,2,40,30,1,140,70,0
2008,4,16,12,0801,NEOGURI,5,13.8,112.4,975,65,2,50,30,2,150,80,0
2008,4,16,18,0801,NEOGURI,5,14.6,112.3,970,70,2,60,30,2,160,90,0
2008,4,17,0,0801,NEOGURI,5,15.2,112.1,965,75,2,70,30,2,170,90,0
2008,4,17,6,0801,NEOGURI,5,15.9,112.0,960,80,2,70,40,2,170,100,0
2008,4,17,12,0801,NEOGURI,5,16.5,111.9,960,80,2,70,45,2,170,100,0
2008,4,17,18,0801,NEOGURI,5,17.1,111.6,960,80,2,70,45,2,170,100,0
2008,4,18,0,0801,NEOGURI,5,17.8,111.5,965,80,2,70,45,2,170,90,0
2008,4,18,6,0801,NEOGURI,5,18.5,111.5,965,75,2,60,35,2,160,80,0
2008,4,18,12,0801,NEOGURI,5,19.1,111.5,970,70,2,60,30,2,150,70,0
2008,4,18,18,0801,NEOGURI,5,19.8,111.5,975,65,2,50,30,2,140,60,0
2008,4,19,0,0801,NEOGURI,4,20.7,111.7,985,55,9,30,30,2,130,60,0
2008,4,19,6,0801,NEOGURI,3,21.6,112.4,992,45,0,0,0,2,120,50,0
2008,4,19,12,0801,NEOGURI,3,22.9,113.0,998,35,0,0,0,3,80,40,0
2008,4,19,18,0801,NEOGURI,2,24.5,113.9,1004,0,0,0,0,0,0,0,0
2008,5,7,0,0802,RAMMASUN,2,7.8,133.3,1004,0,0,0,0,0,0,0,0
2008,5,7,6,0802,RAMMASUN,2,7.8,132.5,1000,0,0,0,0,0,0,0,0
2008,5,7,12,0802,RAMMASUN,2,8.1,131.8,1000,0,0,0,0,0,0,0,0
2008,5,7,18,0802,RAMMASUN,3,8.5,131.6,996,35,0,0,0,9,100,100,0
2008,5,8,0,0802,RAMMASUN,3,8.9,131.3,994,35,0,0,0,9,100,100,0
2008,5,8,6,0802,RAMMASUN,3,9.4,131.3,992,40,0,0,0,9,100,100,0
2008,5,8,12,0802,RAMMASUN,3,9.8,131.3,990,45,0,0,0,9,120,120,0
2008,5,8,18,0802,RAMMASUN,4,10.2,131.5,985,50,0,0,0,3,180,150,0
2008,5,9,0,0802,RAMMASUN,4,11.0,131.7,980,55,9,50,50,3,180,150,0
2008,5,9,6,0802,RAMMASUN,5,11.8,132.0,970,65,9,50,50,3,180,150,0
2008,5,9,12,0802,RAMMASUN,5,12.7,132.1,955,75,9,70,70,3,210,150,0
2008,5,9,18,0802,RAMMASUN,5,13.6,132.1,945,85,9,90,90,3,230,160,0
2008,5,10,0,0802,RAMMASUN,5,14.5,132.0,935,95,9,90,90,3,230,160,0
