,?,,?UTC,??,?,?,,,?,?,50KT,50KT,50KT,30KT,30KT,30KT,
2002,1,10,0,0201,TAPAH,2,9.0,134.5,1008,0,0,0,0,0,0,0,0
2002,1,10,6,0201,TAPAH,2,9.3,133.9,1006,0,0,0,0,0,0,0,0
2002,1,10,12,0201,TAPAH,2,9.7,133.1,1008,0,0,0,0,0,0,0,0
2002,1,10,18,0201,TAPAH,2,10.0,132.2,1006,0,0,0,0,0,0,0,0
2002,1,11,0,0201,TAPAH,2,10.4,131.5,1004,0,0,0,0,0,0,0,0
2002,1,11,6,0201,TAPAH,2,11.0,130.9,1004,0,0,0,0,0,0,0,0
2002,1,11,12,0201,TAPAH,2,11.4,129.8,1002,0,0,0,0,0,0,0,0
2002,1,11,18,0201,TAPAH,2,12.0,128.8,1002,0,0,0,0,0,0,0,0
2002,1,12,0,0201,TAPAH,3,12.6,127.7,1000,35,0,0,0,8,120,40,0
2002,1,12,6,0201,TAPAH,3,13.1,126.5,1000,35,0,0,0,8,120,40,0
2002,1,12,12,0201,TAPAH,3,13.8,125.6,996,40,0,0,0,8,140,50,0
2002,1,12,18,0201,TAPAH,3,14.5,124.7,1000,35,0,0,0,8,100,60,0
2002,1,13,0,0201,TAPAH,2,14.8,123.7,1004,0,0,0,0,0,0,0,0
2002,1,13,6,0201,TAPAH,2,15.6,123.0,1004,0,0,0,0,0,0,0,0
2002,1,13,12,0201,TAPAH,2,16.5,122.6,1006,0,0,0,0,0,0,0,0
2002,1,13,18,0201,TAPAH,2,17.6,122.5,1008,0,0,0,0,0,0,0,0
2002,2,26,12,0202,MITAG,2,5.8,155.7,1006,0,0,0,0,0,0,0,0
2002,2,26,18,0202,MITAG,2,6.0,155.5,1004,0,0,0,0,0,0,0,0
2002,2,27,0,0202,MITAG,2,6.2,155.3,1004,0,0,0,0,0,0,0,0
2002,2,27,6,0202,MITAG,2,6.5,155.0,1002,0,0,0,0,0,0,0,0
2002,2,27,12,0202,MITAG,2,6.7,154.6,1002,0,0,0,0,0,0,0,0
2002,2,27,18,0202,MITAG,2,6.8,153.9,1000,0,0,0,0,0,0,0,0
2002,2,28,0,0202,MITAG,2,7.0,153.5,1000,0,0,0,0,0,0,0,0
2002,2,28,6,0202,MITAG,2,7.1,152.2,998,0,0,0,0,0,0,0,0
2002,2,28,12,0202,MITAG,3,7.1,151.2,998,35,0,0,0,9,60,60,0
2002,2,28,18,0202,MITAG,3,7.1,150.3,996,40,0,0,0,9,80,80,0
2002,3,1,0,0202,MITAG,3,6.7,149.0,990,45,0,0,0,9,110,110,0
2002,3,1,6,0202,MITAG,4,6.5,147.9,985,50,0,0,0,9,120,120,0
2002,3,1,12,0202,MITAG,4,6.6,147.0,985,50,0,0,0,9,120,120,0
2002,3,1,18,0202,MITAG,4,6.7,145.6,980,55,9,30,30,9,130,130,0
2002,3,2,0,0202,MITAG,4,7.1,144.2,975,60,9,40,40,9,150,150,0
2002,3,2,6,0202,MITAG,5,7.7,142.7,970,65,9,50,50,9,150,150,0
2002,3,2,12,0202,MITAG,5,8.1,141.0,965,70,9,60,60,9,160,160,0
2002,3,2,18,0202,MITAG,5,8.5,139.4,960,75,9,60,60,9,160,160,0
2002,3,3,0,0202,MITAG,5,8.8,137.9,960,75,9,60,60,9,160,160,0
2002,3,3,6,0202,MITAG,5,9.5,136.8,960,75,9,70,70,9,170,170,0
