,?,,?UTC,??,?,?,,,?,?,50KT,50KT,50KT,30KT,30KT,30KT,
2007,3,30,12,0701,KONG-REY,2,5.8,158.2,1008,0,0,0,0,0,0,0,0
2007,3,30,18,0701,KONG-REY,2,6.3,158.1,1004,0,0,0,0,0,0,0,0
2007,3,31,0,0701,KONG-REY,2,6.7,157.9,1006,0,0,0,0,0,0,0,0
2007,3,31,6,0701,KONG-REY,2,7.1,156.6,1004,0,0,0,0,0,0,0,0
2007,3,31,12,0701,KONG-REY,2,7.6,155.5,1004,0,0,0,0,0,0,0,0
2007,3,31,18,0701,KONG-REY,2,8.8,154.2,1002,0,0,0,0,0,0,0,0
2007,4,1,0,0701,KONG-REY,3,9.7,152.8,1000,35,0,0,0,1,150,90,0
2007,4,1,6,0701,KONG-REY,3,10.2,152.1,996,40,0,0,0,1,150,90,0
2007,4,1,12,0701,KONG-REY,3,10.5,151.4,990,45,0,0,0,1,160,100,0
2007,4,1,18,0701,KONG-REY,4,11.2,150.8,990,50,0,0,0,1,180,100,0
2007,4,2,0,0701,KONG-REY,4,12.2,149.7,990,50,0,0,0,1,180,100,0
2007,4,2,6,0701,KONG-REY,4,13.4,148.9,985,55,9,30,30,1,180,100,0
2007,4,2,12,0701,KONG-REY,4,14.5,147.7,985,55,9,30,30,1,180,100,0
2007,4,2,18,0701,KONG-REY,4,15.2,147.0,985,55,9,30,30,1,180,100,0
2007,4,3,0,0701,KONG-REY,5,16.1,145.6,980,65,9,40,40,1,180,100,0
2007,4,3,6,0701,KONG-REY,5,16.8,144.7,970,70,9,50,50,1,180,100,0
2007,4,3,12,0701,KONG-REY,5,17.7,144.3,960,80,9,60,60,1,180,100,0
2007,4,3,18,0701,KONG-REY,5,18.8,143.9,960,80,9,60,60,2,180,100,0
2007,4,4,0,0701,KONG-REY,5,19.9,144.2,965,80,9,60,60,2,170,100,0
2007,4,4,6,0701,KONG-REY,5,21.0,144.9,970,70,9,50,50,2,180,90,0
2007,4,4,12,0701,KONG-REY,5,21.6,145.9,980,65,9,40,40,2,180,90,0
2007,4,4,18,0701,KONG-REY,4,22.7,147.7,985,55,9,30,30,2,180,90,0
2007,4,5,0,0701,KONG-REY,4,23.8,149.9,990,50,0,0,0,3,160,90,0
2007,4,5,6,0701,KONG-REY,3,25.1,152.5,992,45,0,0,0,3,140,90,0
2007,4,5,12,0701,KONG-REY,3,25.9,155.0,996,40,0,0,0,3,120,60,0
2007,4,5,18,0701,KONG-REY,3,26.6,157.5,998,35,0,0,0,3,120,30,0
2007,4,6,0,0701,KONG-REY,6,27.0,160.0,1004,0,0,0,0,0,0,0,0
2007,4,6,6,0701,KONG-REY,6,27.2,162.3,1008,0,0,0,0,0,0,0,0
