table2001.csv
985,965,970,960,994,955,975,960,955,992,960,930,990,990,945,960,975,945,965,950,960,925,940,996,915
50,65,60,60,40,70,55,75,80,35,70,90,45,35,85,75,65,85,70,80,70,100,85,35,105
0,75,40,180,0,100,40,70,100,0,160,100,0,0,70,55,45,100,75,80,120,150,110,0,110
200,250,210,600,70,250,130,180,180,120,600,260,240,120,350,200,160,325,240,350,350,425,325,260,280
table2002.csv
996,930,935,975,945,930,945,983,920,1002,960,980,940,985,950,950,940,990,960,990,930,970,980,985,955
40,95,95,60,85,95,85,50,100,35,70,55,85,40,80,80,90,45,45,45,95,55,55,75,85
0,100,100,40,190,120,130,0,120,0,50,50,180,0,150,140,120,0,0,0,120,180,60,60,90
140,350,270,120,450,300,375,180,325,140,150,425,450,270,350,300,350,200,200,120,400,450,270,200,400
table2003.csv
1000,930,940,980,985,955,935,975,992,945,996,970,950,910,955,960,940,930,980,970
35,90,85,55,50,80,90,60,45,85,35,65,80,105,70,70,90,95,50,65
0,120,110,40,0,120,150,60,0,210,0,80,180,80,120,130,120,100,0,50
150,250,350,300,170,270,325,160,150,350,90,350,350,300,300,350,375,250,150,230
table2004.csv
940,935,985,960,975,915,940,955,992,935,996,960,950,990,970,910,955,925,980,992,940,920,940,945,950,1000,935,994
90,95,50,80,60,100,95,80,45,85,40,75,80,45,65,110,80,95,55,40,90,100,85,85,80,35,90,40
110,110,0,30,60,150,120,100,0,120,0,55,120,0,70,160,120,200,40,0,90,80,180,90,70,0,150,0
280,270,100,70,150,350,300,375,140,280,100,200,270,160,350,400,325,375,100,220,325,220,600,220,200,40,290,120
table2005.csv
985,980,935,930,920,990,975,985,950,985,930,980,925,925,945,985,950,955,930,930,950,1002
50,55,90,95,105,45,55,45,80,50,95,55,95,95,85,45,80,80,95,100,80,35
0,30,90,80,140,0,120,0,140,0,70,40,160,160,60,0,70,90,85,75,75,0
180,120,220,250,350,240,350,190,300,240,200,160,290,450,250,325,270,260,200,200,200,180
table2006.csv
930,996,930,970,960,970,975,925,980,980,992,920,919,910,940,980,985,955,920,925,915,945
95,40,100,60,80,65,70,105,55,50,35,105,110,105,85,50,45,75,100,100,105,85
100,0,80,240,55,60,45,70,30,0,0,160,100,100,65,0,0,140,70,70,80,80
280,70,250,400,190,200,160,160,100,200,110,300,220,230,190,325,325,280,180,150,220,200
table2007.csv
960,935,994,930,945,975,990,910,965,990,935,925,990,975,925,994,985,994,945,975,970,996,955
80,95,35,95,90,65,35,110,70,55,100,100,40,60,105,40,55,45,90,55,70,35,80
60,80,0,150,100,40,0,100,100,50,50,90,0,120,150,0,50,0,60,70,60,0,80
180,150,150,350,240,160,240,270,260,250,120,260,160,450,350,60,180,180,200,240,170,160,240
table2008.csv
960,915,992,975,930,945,970,960,975,996,990,955,935,935,905,990,996,948,985,998,994
80,105,50,60,100,90,65,75,50,50,50,75,100,90,115,45,35,45,50,40,40
70,120,0,50,80,50,50,70,0,0,0,80,110,110,80,0,0,0,0,0,0
170,270,180,180,180,160,200,325,240,160,160,240,240,280,250,110,90,180,180,130,90
table2009.csv
940,975,975,994,992,975,990,945,992,945,975,980,994,915,975,960,930,910,992,930,955
85,65,60,40,35,65,40,75,40,90,60,50,40,105,65,70,100,110,45,95,80
50,40,40,0,0,50,0,180,0,130,40,0,0,170,50,80,80,120,0,110,60
130,120,160,180,100,240,180,350,200,200,200,325,130,325,160,240,210,350,150,240,200
table2010.csv
998,970,970,985,985,985,960,996,992,985,930,945,885
35,70,70,50,45,50,80,35,50,55,95,85,125
0,60,50,0,0,0,50,0,0,30,90,140,110
90,180,160,280,150,140,140,60,240,90,200,450,280
table2011.csv
978,920,996,985,975,935,1000,985,930,980,925,970,982,1000,940,970,950,996,935,1002
40,105,40,40,60,95,35,50,95,50,100,50,40,35,85,70,80,35,95,35
0,80,0,0,120,120,0,0,140,0,100,0,0,0,120,40,120,0,80,0
160,240,90,180,400,650,100,220,300,240,280,350,300,100,350,210,300,140,325,180
table2012.csv
998,975,960,930,985,992,985,950,960,965,965,990,970,950,910,900,905,985,960,990,940,990,945,930
40,60,75,100,50,40,50,80,70,70,65,50,65,80,100,110,110,50,50,50,90,50,85,100
0,50,80,150,0,0,0,90,60,50,100,0,60,60,170,140,120,0,0,0,120,0,60,80
120,170,300,300,300,240,270,300,400,270,350,300,210,180,375,350,350,240,400,150,300,180,210,210
table2013.csv
990,1002,990,994,990,985,925,1000,985,992,925,965,990,1000,980,1002,985,960,910,965,965,990,960,935,965,930,920,905,970,895
50,35,45,40,40,50,100,40,50,40,105,60,55,35,55,35,50,65,110,60,65,40,75,90,75,90,105,115,75,125
0,0,0,0,0,0,160,0,0,0,70,50,20,0,40,0,0,100,100,90,50,0,100,90,70,240,100,110,50,80
150,240,210,350,150,180,350,100,250,120,200,325,150,40,200,210,120,350,300,300,210,180,270,240,210,450,240,240,150,270
table2014.csv
1002,1000,975,998,985,994,988,930,935,965,920,980,915,975,960,985,985,935,900,910,990,905
35,35,65,35,50,40,40,100,90,70,105,55,110,60,75,45,50,95,115,110,45,115
0,0,70,0,0,0,0,170,70,70,100,160,50,80,120,0,0,100,150,100,0,80
200,180,210,120,100,150,180,375,180,300,375,375,180,270,400,270,350,300,400,300,120,325
table2015.csv
975,940,990,910,998,920,925,985,935,980,925,955,900,985,930,925,950,985,998,945,925,950,952,925,930,935
60,90,45,105,35,110,100,45,90,50,100,80,115,45,100,100,80,50,35,85,110,85,60,100,95,95
50,60,0,80,0,90,80,0,150,0,100,90,200,0,100,150,120,0,0,70,120,60,180,80,100,70
210,210,325,180,80,150,240,140,375,210,375,160,350,210,250,325,400,240,180,180,300,240,450,240,300,210
table2016.csv
900,1000,980,975,975,985,980,980,975,940,994,955,1000,890,996,930,945,905,975,925,935,900,960,1002,992
110,40,55,60,60,45,55,40,65,90,35,70,40,120,35,95,85,115,60,100,95,115,75,35,50
60,0,60,30,180,0,120,0,60,120,0,30,0,70,0,60,140,60,30,60,60,100,100,0,0
240,100,120,210,375,350,210,240,180,350,240,90,150,240,150,240,325,240,120,180,210,270,270,90,120
table2017.csv
1002,985,985,985,935,1002,1002,994,960,985,990,955,965,985,955,990,1000,935,955,955,915,975,970,998,1000,994
35,55,55,50,95,40,35,35,80,45,45,80,75,55,80,50,35,95,80,75,100,60,70,40,35,40
0,40,20,0,60,0,0,0,60,0,0,30,50,30,90,0,0,110,75,80,210,90,70,0,0,0
120,100,120,210,210,180,50,30,210,240,240,120,180,300,500,120,90,300,270,270,450,300,270,120,60,180
table2018.csv
1002,1000,915,998,970,990,960,915,994,985,990,960,970,990,994,985,998,985,950,950,915,905,998,915,900,900,1004,960
35,35,105,40,60,45,65,105,40,50,50,75,70,40,50,45,40,45,85,85,105,110,40,105,115,115,35,80
0,0,60,0,110,0,50,150,0,0,0,70,55,0,0,0,0,0,80,120,120,120,0,150,140,110,0,70
30,240,210,120,400,210,300,300,210,270,300,270,300,270,150,120,120,240,240,300,500,400,60,350,400,350,90,300
table2019.csv
996,920,992,992,985,998,985,970,925,965,985,992,940,996,955,1000,970,965,915,970,935,992,905,975,965,975,990,950
45,105,40,35,45,35,45,70,105,75,50,40,95,35,85,35,65,75,105,75,100,50,115,65,85,70,55,90
0,80,0,0,0,0,0,40,100,180,0,0,90,0,60,0,130,90,200,40,80,0,60,90,60,50,60,80
180,270,150,475,350,210,270,150,375,600,300,240,300,300,180,200,375,300,400,140,300,260,240,270,150,240,180,300
table2020.csv
960,996,985,975,990,992,992,950,935,910,992,975,980,965,994,990,975,940,905,992,992,955
85,40,40,70,45,50,55,85,95,105,45,60,60,70,45,45,65,90,120,50,45,85
30,0,0,60,0,0,20,100,130,180,0,45,70,80,0,0,60,90,50,0,0,60
90,150,700,210,270,120,120,210,300,450,180,270,300,240,210,300,210,270,210,180,180,270
