,?,,?UTC,??,?,?,,,?,?,50KT,50KT,50KT,30KT,30KT,30KT,
2006,5,8,6,0601,CHANCHU,2,8.7,135.3,1004,0,0,0,0,0,0,0,0
2006,5,8,12,0601,CHANCHU,2,8.6,134.5,1006,0,0,0,0,0,0,0,0
2006,5,8,18,0601,CHANCHU,2,8.5,133.9,1004,0,0,0,0,0,0,0,0
2006,5,9,0,0601,CHANCHU,2,8.3,133.4,1006,0,0,0,0,0,0,0,0
2006,5,9,6,0601,CHANCHU,2,8.5,132.6,1004,0,0,0,0,0,0,0,0
2006,5,9,12,0601,CHANCHU,3,8.6,132.0,1000,35,0,0,0,9,60,60,0
2006,5,9,18,0601,CHANCHU,3,8.7,131.5,1000,35,0,0,0,9,60,60,0
2006,5,10,0,0601,CHANCHU,3,9.2,130.8,996,40,0,0,0,9,70,70,0
2006,5,10,6,0601,CHANCHU,3,9.7,129.9,990,45,0,0,0,9,80,80,0
2006,5,10,12,0601,CHANCHU,4,9.8,129.4,985,50,0,0,0,9,90,90,0
2006,5,10,18,0601,CHANCHU,4,10.3,129.0,985,50,0,0,0,9,100,100,0
2006,5,11,0,0601,CHANCHU,4,10.8,128.2,985,50,0,0,0,1,120,100,0
2006,5,11,6,0601,CHANCHU,4,11.5,127.0,985,50,0,0,0,1,140,100,0
2006,5,11,12,0601,CHANCHU,4,12.1,125.8,980,55,9,30,30,1,160,110,0
2006,5,11,18,0601,CHANCHU,4,12.4,124.5,985,50,0,0,0,1,160,110,0
2006,5,12,0,0601,CHANCHU,4,12.6,123.5,985,50,0,0,0,1,160,110,0
2006,5,12,6,0601,CHANCHU,4,13.0,122.6,980,55,9,30,30,1,160,110,0
2006,5,12,12,0601,CHANCHU,4,13.0,121.8,980,55,9,30,30,1,160,130,0
2006,5,12,18,0601,CHANCHU,4,12.9,121.2,985,50,0,0,0,1,160,130,0
2006,5,13,0,0601,CHANCHU,4,13.3,120.6,985,50,0,0,0,1,160,130,0
2006,5,13,6,0601,CHANCHU,4,13.9,119.5,980,55,9,30,30,9,150,150,0
2006,5,13,12,0601,CHANCHU,4,13.9,119.0,975,60,9,40,40,9,160,160,0
2006,5,13,18,0601,CHANCHU,5,13.8,118.2,970,65,9,50,50,9,180,180,0
2006,5,14,0,0601,CHANCHU,5,13.8,117.6,960,75,9,60,60,9,200,200,0
2006,5,14,6,0601,CHANCHU,5,13.9,116.6,950,80,9,75,75,9,220,220,0
2006,5,14,12,0601,CHANCHU,5,13.9,116.0,940,85,9,80,80,9,240,240,0
2006,5,14,18,0601,CHANCHU,5,13.8,115.5,935,90,9,90,90,9,260,260,0
2006,5,15,0,0601,CHANCHU,5,14.1,115.4,930,95,9,100,100,9,280,280,0
2006,5,15,6,0601,CHANCHU,5,14.8,115.3,930,95,9,100,100,9,280,280,0
2006,5,15,12,0601,CHANCHU,5,15.3,115.2,930,95,9,90,90,9,270,270,0
2006,5,15,18,0601,CHANCHU,5,15.9,115.0,930,95,9,90,90,9,270,270,0
2006,5,16,0,0601,CHANCHU,5,16.9,114.8,930,95,9,90,90,2,270,250,0
2006,5,16,6,0601,CHANCHU,5,17.8,114.9,935,90,9,80,80,2,260,240,0
2006,5,16,12,0601,CHANCHU,5,18.8,115.2,940,85,9,75,75,2,250,230,0
2006,5,16,18,0601,CHANCHU,5,19.5,115.4,940,85,9,75,75,2,250,230,0
2006,5,17,0,0601,CHANCHU,5,20.5,115.6,945,85,3,80,60,3,260,210,0
2006,5,17,6,0601,CHANCHU,5,21.3,116.1,950,80,3,80,50,3,240,190,0
2006,5,17,12,0601,CHANCHU,5,22.5,116.6,960,75,3,70,40,3,250,160,0
2006,5,17,18,0601,CHANCHU,4,23.5,117.2,975,60,3,60,40,3,250,140,0
